iter	Logloss
0	0.3058210543
1	0.2356350622
2	0.2033325928
3	0.1926566697
4	0.1878333475
5	0.1843285067
6	0.1832200343
7	0.1810414918
8	0.1796186619
9	0.178049195
10	0.1763986291
11	0.1756142335
12	0.1727131983
13	0.1724523286
14	0.1721497747
15	0.1717451774
16	0.1713041414
17	0.1704784324
18	0.1698923853
19	0.1696803276
20	0.1690126772
21	0.1689992316
22	0.1682440843
23	0.1675144095
24	0.1671866782
25	0.1666984197
26	0.1656814628
27	0.1647419017
28	0.1641111079
29	0.1639792012
30	0.1635516073
31	0.1630164893
32	0.1628926693
33	0.1626441229
34	0.1615620622
35	0.1613060015
36	0.1604401834
37	0.1596072922
38	0.1591353423
39	0.1586145679
40	0.1575422089
41	0.157542199
42	0.1573695277
43	0.1572144467
44	0.1568640501
45	0.156575732
46	0.1559885204
47	0.1559860297
48	0.1551984841
49	0.1543178071
50	0.1540906641
51	0.1536246216
52	0.1535095559
53	0.1533457036
54	0.1532170465
55	0.1528420648
56	0.1526351325
57	0.1520390707
58	0.1517676911
59	0.1512981432
60	0.1509699418
61	0.1507800678
62	0.1503056686
63	0.1501350906
64	0.1499343711
65	0.1490795636
66	0.148468128
67	0.1482723463
68	0.1479929473
69	0.1471599865
70	0.1465938097
71	0.1465637126
72	0.1462563229
73	0.1460596664
74	0.1458705513
75	0.1455882608
76	0.1453337458
77	0.1453336058
78	0.1449617441
79	0.1449615488
