iter	Passed	Remaining
0	11	933
1	24	947
2	43	1126
3	62	1189
4	79	1196
5	96	1192
6	113	1186
7	138	1249
8	158	1248
9	175	1227
10	191	1198
11	208	1179
12	223	1154
13	241	1136
14	256	1111
15	272	1089
16	288	1068
17	305	1053
18	322	1035
19	338	1016
20	355	999
21	374	986
22	393	975
23	411	960
24	429	945
25	446	927
26	463	909
27	478	889
28	495	871
29	511	853
30	528	834
31	550	826
32	571	813
33	597	808
34	613	788
35	628	768
36	644	749
37	660	729
38	676	711
39	692	692
40	710	675
41	728	659
42	745	641
43	762	623
44	779	606
45	797	589
46	814	571
47	830	553
48	850	537
49	873	524
50	898	510
51	928	500
52	946	482
53	962	463
54	980	445
55	995	426
56	1020	411
57	1036	392
58	1051	374
59	1067	355
60	1082	337
61	1098	318
62	1114	300
63	1129	282
64	1153	266
65	1169	248
66	1185	230
67	1201	212
68	1216	193
69	1231	175
70	1247	158
71	1263	140
72	1278	122
73	1294	104
74	1313	87
75	1330	70
76	1350	52
77	1368	35
78	1386	17
79	1405	0
