iter	Passed	Remaining
0	28	5724
1	54	5434
2	63	4141
3	88	4330
4	106	4159
5	121	3918
6	144	3988
7	152	3651
8	172	3666
9	180	3422
10	202	3476
11	219	3445
12	241	3478
13	252	3352
14	261	3222
15	281	3235
16	301	3244
17	320	3245
18	340	3244
19	363	3267
20	381	3248
21	398	3227
22	437	3368
23	461	3382
24	488	3416
25	512	3432
26	561	3597
27	581	3569
28	606	3575
29	632	3583
30	677	3695
31	704	3700
32	712	3605
33	726	3548
34	756	3566
35	763	3480
36	795	3504
37	821	3501
38	843	3482
39	868	3472
40	891	3455
41	909	3422
42	930	3398
43	954	3385
44	972	3349
45	987	3307
46	1028	3348
47	1055	3342
48	1078	3322
49	1106	3320
50	1129	3298
51	1152	3281
52	1180	3273
53	1218	3294
54	1241	3272
55	1285	3305
56	1310	3288
57	1332	3263
58	1373	3282
59	1407	3284
60	1432	3264
61	1467	3265
62	1500	3262
63	1532	3255
64	1556	3233
65	1598	3245
66	1626	3228
67	1651	3205
68	1671	3173
69	1696	3151
70	1740	3161
71	1764	3137
72	1804	3140
73	1836	3127
74	1867	3112
75	1899	3098
76	1924	3074
77	1966	3075
78	2010	3078
79	2039	3058
80	2097	3081
81	2121	3053
82	2185	3081
83	2219	3065
84	2251	3046
85	2277	3019
86	2300	2988
87	2328	2963
88	2355	2937
89	2401	2935
90	2439	2921
91	2469	2898
92	2500	2877
93	2537	2861
94	2582	2854
95	2624	2843
96	2660	2825
97	2700	2811
98	2765	2821
99	2792	2792
100	2829	2773
101	2881	2768
102	2921	2750
103	2964	2736
104	2998	2713
105	3071	2723
106	3119	2710
107	3158	2690
108	3198	2669
109	3237	2648
110	3301	2647
111	3338	2623
112	3385	2606
113	3440	2595
114	3470	2565
115	3497	2532
116	3562	2527
117	3610	2508
118	3640	2477
119	3678	2452
120	3720	2429
121	3759	2403
122	3798	2377
123	3846	2357
124	3874	2324
125	3918	2301
126	3957	2274
127	3998	2249
128	4037	2222
129	4079	2196
130	4142	2181
131	4184	2155
132	4222	2126
133	4254	2095
134	4285	2063
135	4336	2040
136	4365	2007
137	4411	1982
138	4446	1951
139	4486	1922
140	4545	1902
141	4634	1893
142	4683	1866
143	4724	1837
144	4767	1808
145	4804	1777
146	4860	1752
147	4899	1721
148	4935	1689
149	4979	1659
150	5019	1628
151	5060	1597
152	5099	1566
153	5143	1536
154	5188	1506
155	5233	1476
156	5281	1446
157	5325	1415
158	5374	1385
159	5425	1356
160	5469	1324
161	5509	1292
162	5551	1260
163	5600	1229
164	5661	1200
165	5691	1165
166	5721	1130
167	5769	1099
168	5804	1064
169	5851	1032
170	5893	999
171	5927	964
172	5962	930
173	6031	901
174	6074	867
175	6111	833
176	6140	797
177	6169	762
178	6210	728
179	6265	696
180	6339	665
181	6383	631
182	6430	597
183	6478	563
184	6521	528
185	6569	494
186	6612	459
187	6641	423
188	6689	389
189	6723	353
190	6820	321
191	6884	286
192	6937	251
193	6977	215
194	7015	179
195	7051	143
196	7158	109
197	7195	72
198	7275	36
199	7341	0
