iter	Passed	Remaining
0	13	1349
1	31	1529
2	42	1372
3	55	1338
4	71	1359
5	87	1371
6	102	1364
7	119	1371
8	134	1355
9	149	1345
10	163	1321
11	177	1299
12	185	1238
13	198	1222
14	212	1205
15	227	1196
16	243	1190
17	257	1173
18	271	1159
19	286	1147
20	301	1133
21	316	1121
22	330	1106
23	344	1089
24	357	1072
25	371	1057
26	385	1043
27	401	1031
28	415	1017
29	429	1002
30	444	989
31	457	973
32	472	958
33	487	945
34	501	931
35	517	919
36	532	906
37	546	891
38	560	876
39	574	861
40	587	845
41	601	830
42	616	816
43	630	802
44	645	788
45	659	773
46	672	758
47	686	743
48	701	729
49	715	715
50	729	701
51	743	686
52	757	672
53	771	656
54	787	644
55	803	631
56	817	616
57	831	602
58	845	587
59	859	573
60	873	558
61	886	543
62	901	529
63	915	515
64	929	500
65	943	485
66	956	471
67	969	456
68	983	442
69	998	428
70	1012	413
71	1027	399
72	1041	385
73	1055	370
74	1068	356
75	1098	346
76	1113	332
77	1128	318
78	1143	304
79	1158	289
80	1172	275
81	1187	260
82	1202	246
83	1216	231
84	1234	217
85	1249	203
86	1263	188
87	1277	174
88	1293	159
89	1308	145
90	1323	130
91	1337	116
92	1351	101
93	1368	87
94	1383	72
95	1400	58
96	1415	43
97	1440	29
98	1458	14
99	1474	0
